page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
   8   262 image      72    72  icc     3   8  jpeg   no       452  0   203   203 1362B 8.8%
   8   263 smask      72    72  gray    1   8  image  no       452  0   203   203  602B  12%
   8   264 image    1166   303  icc     3   8  jpeg   no       428  0   150   150 2730B 0.3%
   8   265 smask    1166   303  gray    1   8  image  no       428  0   150   150 2553B 0.7%
   8   266 image     134    17  icc     3   8  jpeg   no       434  0   150   148 1071B  16%
   8   267 smask     134    17  gray    1   8  image  no       434  0   150   148  510B  22%
   8   268 image     134    17  icc     3   8  jpeg   no       434  0   150   148 1071B  16%
   8   269 smask     134    17  gray    1   8  image  no       434  0   150   148  510B  22%
   8   270 image     887   887  icc     3   8  jpeg   no       571  0   207   207 10.5K 0.5%
   8   271 smask     887   887  gray    1   8  jpeg   no       571  0   207   207 8656B 1.1%
   8   272 image     458   609  icc     3   8  jpeg   no       675  0   150   150 7235B 0.9%
   8   273 smask     458   609  gray    1   8  jpeg   no       675  0   150   150 3401B 1.2%
   8   274 image     458   609  icc     3   8  jpeg   no       675  0   150   150 7235B 0.9%
   8   275 smask     458   609  gray    1   8  jpeg   no       675  0   150   150 3401B 1.2%
   8   276 image     434   578  icc     3   8  jpeg   no       681  0   150   150 7193B 1.0%
   8   277 smask     434   578  gray    1   8  jpeg   no       681  0   150   150 3852B 1.5%
   8   278 image     434   578  icc     3   8  jpeg   no       681  0   150   150 7193B 1.0%
   8   279 smask     434   578  gray    1   8  jpeg   no       681  0   150   150 3852B 1.5%
   9   280 image      53    53  icc     3   8  jpeg   no       440  0   150   150  965B  11%
   9   281 smask      72    72  gray    1   8  image  no       440  0   203   203  602B  12%
   9   282 image      53    53  icc     3   8  jpeg   no       443  0   150   150 1028B  12%
   9   283 smask      72    72  gray    1   8  image  no       443  0   203   203  602B  12%
   9   284 image      53    53  icc     3   8  jpeg   no       446  0   150   150 1004B  12%
   9   285 smask      72    72  gray    1   8  image  no       446  0   203   203  602B  12%
   9   286 image      53    53  icc     3   8  jpeg   no       449  0   150   150 1007B  12%
   9   287 smask      72    72  gray    1   8  image  no       449  0   203   203  602B  12%
   9   288 image      72    72  icc     3   8  jpeg   no       452  0   203   203 1362B 8.8%
   9   289 smask      72    72  gray    1   8  image  no       452  0   203   203  602B  12%
   9   290 image    1670  1173  icc     3   8  jpeg   no       685  0   150   150 23.2K 0.4%
   9   291 smask    1670  1173  gray    1   8  jpeg   no       685  0   150   150 21.1K 1.1%
   9   292 image     256   256  icc     3   8  jpeg   no       691  0   113   113 4733B 2.4%
   9   293 smask     256   256  gray    1   8  jpeg   no       691  0   113   113 1841B 2.8%
