Extracting raw images from cat-alfa.pdf...

Total images found: 989

Detailed list:
page59_img2.jpg: 53x53
page59_img3.jpg: 53x53
page59_img4.jpg: 53x53
page59_img5.jpg: 72x72
page59_img6.jpg: 53x53
page59_img7.jpg: 1670x1173
page59_img8.jpg: 53x53
page59_img9.jpg: 251x208
page59_img10.jpg: 887x887
page60_img1.jpg: 1312x1014
page60_img2.jpg: 1456x94
page60_img3.jpg: 411x411
page60_img4.jpg: 797x216
page60_img5.jpg: 1650x1248
page61_img1.jpg: 1167x306
page61_img2.jpg: 53x53
page61_img3.jpg: 53x53
page61_img4.jpg: 53x53
page61_img5.jpg: 72x72
page61_img6.jpg: 53x53
page61_img7.jpg: 53x53
page61_img8.jpg: 1670x1173
page61_img9.jpg: 1341x758
page62_img1.jpg: 1167x306
page62_img2.jpg: 53x53
page62_img3.jpg: 53x53
page62_img4.jpg: 53x53
page62_img5.jpg: 72x72
page62_img6.jpg: 53x53
page62_img7.jpg: 53x53
page62_img8.jpg: 1670x1173
page62_img9.jpg: 1159x702
page62_img10.jpg: 887x887
page63_img1.jpg: 784x606
page63_img2.jpg: 1456x94
page63_img3.jpg: 411x411
page63_img4.jpg: 878x216
page63_img5.jpg: 1650x1228
page64_img1.jpg: 1622x425
page64_img2.jpg: 53x53
page64_img3.jpg: 53x53
page64_img4.jpg: 53x53
page64_img5.jpg: 72x72
page64_img6.jpg: 53x53
page64_img7.jpg: 1670x1173
page64_img8.jpg: 53x53
page64_img9.jpg: 990x765
page64_img10.jpg: 887x887
page65_img1.jpg: 1021x1322
page65_img2.jpg: 411x411
page65_img3.jpg: 797x9
page65_img4.jpg: 977x373
page65_img5.jpg: 1650x1275
page66_img1.jpg: 1210x936
page66_img2.jpg: 1456x94
page66_img3.jpg: 411x411
page66_img4.jpg: 1273x214
page66_img5.jpg: 1650x1248
page67_img1.jpg: 1167x306
page67_img2.jpg: 1670x1175
page67_img3.jpg: 1090x573
page67_img4.jpg: 500x500
page67_img5.jpg: 611x225
page68_img1.jpg: 1167x306
page68_img2.jpg: 1670x1175
page68_img3.jpg: 500x500
page68_img4.jpg: 563x563
page68_img5.jpg: 398x398
